activity_period,operating_airline,operating_airline_iata_code,geo_summary,geo_region,adjusted_passenger_count,year,month
200507,ATA Airlines,TZ,Domestic,US,27271,2005,July
200507,ATA Airlines,TZ,Domestic,US,29131,2005,July
200507,ATA Airlines,TZ,Domestic,US,10830,2005,July
200507,Air Canada ,AC,International,Canada,35156,2005,July
200507,Air Canada ,AC,International,Canada,34090,2005,July
200507,Air China,CA,International,Asia,6263,2005,July
200507,Air China,CA,International,Asia,5500,2005,July
200507,Air France,AF,International,Europe,12050,2005,July
200507,Air France,AF,International,Europe,11638,2005,July
200507,Air New Zealand,NZ,International,Australia / Oceania,4998,2005,July
200507,Air New Zealand,NZ,International,Australia / Oceania,4962,2005,July
200507,AirTran Airways,FL,Domestic,US,8055,2005,July
200507,AirTran Airways,FL,Domestic,US,7984,2005,July
200507,Alaska Airlines,AS,Domestic,US,36641,2005,July
200507,Alaska Airlines,AS,Domestic,US,39379,2005,July
200507,Alaska Airlines,AS,Domestic,US,7356,2005,July
200507,Alaska Airlines,AS,International,Canada,7977,2005,July
200507,Alaska Airlines,AS,International,Canada,8837,2005,July
200507,Alaska Airlines,AS,International,Mexico,6969,2005,July
200507,Alaska Airlines,AS,International,Mexico,10046,2005,July
200507,Alaska Airlines,AS,International,Mexico,4532,2005,July
200507,All Nippon Airways,NH,International,Asia,6545,2005,July
200507,All Nippon Airways,NH,International,Asia,6094,2005,July
200507,American Airlines,AA,Domestic,US,166577,2005,July
200507,American Airlines,AA,Domestic,US,160890,2005,July
200507,American Eagle Airlines,MQ,Domestic,US,5493,2005,July
200507,American Eagle Airlines,MQ,Domestic,US,5213,2005,July
200507,Asiana Airlines,OZ,International,Asia,5041,2005,July
200507,Asiana Airlines,OZ,International,Asia,4744,2005,July
200507,Atlantic Southeast Airlines,EV,Domestic,US,1552,2005,July
200507,Atlantic Southeast Airlines,EV,Domestic,US,1484,2005,July
200507,BelAir Airlines,4T,International,Europe,325,2005,July
200507,BelAir Airlines,4T,International,Europe,545,2005,July
200507,British Airways,BA,International,Europe,20632,2005,July
200507,British Airways,BA,International,Europe,21686,2005,July
200507,Cathay Pacific,CX,International,Asia,11010,2005,July
200507,Cathay Pacific,CX,International,Asia,9628,2005,July
200507,China Airlines,CI,International,Asia,13638,2005,July
200507,China Airlines,CI,International,Asia,11255,2005,July
200507,Delta Air Lines,DL,Domestic,US,97510,2005,July
200507,Delta Air Lines,DL,Domestic,US,93791,2005,July
200507,EVA Airways,BR,International,Asia,14142,2005,July
200507,EVA Airways,BR,International,Asia,12132,2005,July
200507,Frontier Airlines,F9,Domestic,US,19234,2005,July
200507,Frontier Airlines,F9,Domestic,US,18368,2005,July
200507,Hawaiian Airlines,HA,Domestic,US,7579,2005,July
200507,Hawaiian Airlines,HA,Domestic,US,7658,2005,July
200507,Horizon Air ,QX,Domestic,US,5284,2005,July
200507,Horizon Air ,QX,Domestic,US,5257,2005,July
200507,Icelandair,FI,International,Europe,4540,2005,July
200507,Icelandair,FI,International,Europe,4341,2005,July
200507,Independence Air,DH,Domestic,US,10843,2005,July
200507,Independence Air,DH,Domestic,US,10967,2005,July
200507,Japan Airlines,JL,International,Asia,9195,2005,July
200507,Japan Airlines,JL,International,Asia,9086,2005,July
200507,KLM Royal Dutch Airlines,KL,International,Europe,9978,2005,July
200507,KLM Royal Dutch Airlines,KL,International,Europe,9587,2005,July
200507,Korean Air Lines,KE,International,Asia,6153,2005,July
200507,Korean Air Lines,KE,International,Asia,5646,2005,July
200507,Lufthansa German Airlines,LH,International,Europe,22389,2005,July
200507,Lufthansa German Airlines,LH,International,Europe,20511,2005,July
200507,Mesa Airlines,YV,Domestic,US,2636,2005,July
200507,Mesa Airlines,YV,Domestic,US,2535,2005,July
200507,Mexicana Airlines,MX,International,Mexico,7751,2005,July
200507,Mexicana Airlines,MX,International,Mexico,7845,2005,July
200507,Midwest Airlines,YX,Domestic,US,1797,2005,July
200507,Midwest Airlines,YX,Domestic,US,3238,2005,July
200507,Northwest Airlines,NW,Domestic,US,64231,2005,July
200507,Northwest Airlines,NW,Domestic,US,62049,2005,July
200507,Northwest Airlines,NW,International,Asia,7229,2005,July
200507,Northwest Airlines,NW,International,Asia,6554,2005,July
200507,Philippine Airlines,PR,International,Asia,12828,2005,July
200507,Philippine Airlines,PR,International,Asia,10269,2005,July
200507,Singapore Airlines,SQ,International,Asia,19211,2005,July
200507,Singapore Airlines,SQ,International,Asia,17462,2005,July
200507,SkyWest Airlines,OO,Domestic,US,7262,2005,July
200507,SkyWest Airlines,OO,Domestic,US,6586,2005,July
200507,SkyWest Airlines,OO,Domestic,US,103279,2005,July
200507,SkyWest Airlines,OO,Domestic,US,102023,2005,July
200507,SkyWest Airlines,OO,International,Canada,3688,2005,July
200507,SkyWest Airlines,OO,International,Canada,3633,2005,July
200507,Sun Country Airlines,SY,Domestic,US,4827,2005,July
200507,Sun Country Airlines,SY,Domestic,US,4784,2005,July
200507,TACA,TA,International,Central America,6324,2005,July
200507,TACA,TA,International,Central America,7031,2005,July
200507,US Airways,US ,Domestic,US,46042,2005,July
200507,US Airways,US ,Domestic,US,45553,2005,July
200507,US Airways,US ,Domestic,US,38951,2005,July
200507,US Airways,US ,Domestic,US,37848,2005,July
200507,United Airlines,UA,Domestic,US,62178,2005,July
200507,United Airlines,UA,Domestic,US,60939,2005,July
200507,United Airlines - Pre 07/01/2013,UA,Domestic,US,58767,2005,July
200507,United Airlines - Pre 07/01/2013,UA,Domestic,US,58277,2005,July
200507,United Airlines - Pre 07/01/2013,UA,Domestic,US,443656,2005,July
200507,United Airlines - Pre 07/01/2013,UA,Domestic,US,421802,2005,July
200507,United Airlines - Pre 07/01/2013,UA,Domestic,US,22776,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Asia,77658,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Asia,68278,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Asia,7906,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,8603,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,8234,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,2770,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Canada,12874,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Canada,12085,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Canada,20,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Europe,30796,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Europe,29283,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Europe,1776,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Mexico,9537,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Mexico,9672,2005,July
200507,United Airlines - Pre 07/01/2013,UA,International,Mexico,90,2005,July
200507,Virgin Atlantic,VS,International,Europe,11684,2005,July
200507,Virgin Atlantic,VS,International,Europe,10771,2005,July
200507,WestJet Airlines,WS,International,Canada,2480,2005,July
200507,WestJet Airlines,WS,International,Canada,2211,2005,July
200508,ATA Airlines,TZ,Domestic,US,27472,2005,August
200508,ATA Airlines,TZ,Domestic,US,26535,2005,August
200508,ATA Airlines,TZ,Domestic,US,11424,2005,August
200508,Air Canada ,AC,International,Canada,34878,2005,August
200508,Air Canada ,AC,International,Canada,34105,2005,August
200508,Air China,CA,International,Asia,4204,2005,August
200508,Air China,CA,International,Asia,3923,2005,August
200508,Air France,AF,International,Europe,11230,2005,August
200508,Air France,AF,International,Europe,11731,2005,August
200508,Air New Zealand,NZ,International,Australia / Oceania,4672,2005,August
200508,Air New Zealand,NZ,International,Australia / Oceania,4006,2005,August
200508,AirTran Airways,FL,Domestic,US,7796,2005,August
200508,AirTran Airways,FL,Domestic,US,7737,2005,August
200508,Alaska Airlines,AS,Domestic,US,40431,2005,August
200508,Alaska Airlines,AS,Domestic,US,39595,2005,August
200508,Alaska Airlines,AS,Domestic,US,3804,2005,August
200508,Alaska Airlines,AS,International,Canada,8901,2005,August
200508,Alaska Airlines,AS,International,Canada,9020,2005,August
200508,Alaska Airlines,AS,International,Mexico,7541,2005,August
200508,Alaska Airlines,AS,International,Mexico,9333,2005,August
200508,Alaska Airlines,AS,International,Mexico,3804,2005,August
200508,All Nippon Airways,NH,International,Asia,6739,2005,August
200508,All Nippon Airways,NH,International,Asia,5966,2005,August
200508,American Airlines,AA,Domestic,US,162064,2005,August
200508,American Airlines,AA,Domestic,US,157700,2005,August
200508,American Eagle Airlines,MQ,Domestic,US,5233,2005,August
200508,American Eagle Airlines,MQ,Domestic,US,4866,2005,August
200508,Asiana Airlines,OZ,International,Asia,4099,2005,August
200508,Asiana Airlines,OZ,International,Asia,3376,2005,August
200508,Atlantic Southeast Airlines,EV,Domestic,US,1735,2005,August
200508,Atlantic Southeast Airlines,EV,Domestic,US,1560,2005,August
200508,BelAir Airlines,4T,International,Europe,353,2005,August
200508,BelAir Airlines,4T,International,Europe,751,2005,August
200508,Boeing Company,,Domestic,US,18,2005,August
200508,British Airways,BA,International,Europe,20312,2005,August
200508,British Airways,BA,International,Europe,20084,2005,August
200508,Cathay Pacific,CX,International,Asia,11753,2005,August
200508,Cathay Pacific,CX,International,Asia,9050,2005,August
200508,China Airlines,CI,International,Asia,14610,2005,August
200508,China Airlines,CI,International,Asia,10972,2005,August
200508,Delta Air Lines,DL,Domestic,US,97343,2005,August
200508,Delta Air Lines,DL,Domestic,US,97160,2005,August
200508,EVA Airways,BR,International,Asia,13524,2005,August
200508,EVA Airways,BR,International,Asia,11950,2005,August
200508,Frontier Airlines,F9,Domestic,US,17109,2005,August
200508,Frontier Airlines,F9,Domestic,US,17186,2005,August
200508,Hawaiian Airlines,HA,Domestic,US,7923,2005,August
200508,Hawaiian Airlines,HA,Domestic,US,7751,2005,August
200508,Horizon Air ,QX,Domestic,US,5572,2005,August
200508,Horizon Air ,QX,Domestic,US,5268,2005,August
200508,Icelandair,FI,International,Europe,4691,2005,August
200508,Icelandair,FI,International,Europe,4355,2005,August
